DeviceName,Dew_Point,Indoor_Humidity,Indoor_Temperature,Outdoor_Humidity,Outdoor_Temperature,Discharge_Pressure,Discharge_Temperature,kW,Power_Factor,Volts_Line_to_Line,Volts_Line_to_Neutral
store0030-RackTCA,45.5,40.72,69.6,23.96,87.51,,146.97,105.5,0.83,605.9,350.3
store0030-RackTCA,45.48,40.86,69.6,23.96,87.37,,147.78,104.9,0.83,606.2,350.2
store0030-RackTCA,45.52,40.86,69.6,24.26,87.37,,148.73,105.2,0.83,606.0,350.3
store0030-RackTCA,45.52,40.86,69.55,24.26,86.97,,148.73,105.5,0.83,607.5,351.1
store0030-RackTCA,45.37,40.82,69.55,24.73,86.79,,150.22,104.8,0.82,606.9,350.8
store0030-RackTCA,45.37,40.73,69.57,24.63,87.87,,150.71,104.4,0.82,606.6,350.6
store0030-RackTCA,45.37,40.73,69.57,23.93,87.87,,151.11,105.0,0.82,608.9,351.9
store0030-RackTCA,45.37,40.87,69.57,23.85,88.65,,151.11,105.5,0.83,607.7,351.2
store0030-RackTCA,45.37,40.77,69.6,23.85,90.19,,151.45,105.5,0.83,605.2,349.9
store0030-RackTCA,45.34,40.63,69.6,22.85,91.27,,151.43,105.8,0.83,606.8,350.8
store0030-RackTCA,45.39,40.63,69.55,21.85,91.27,,152.02,105.2,0.82,608.2,351.6
store0030-RackTCA,45.54,40.94,69.51,22.25,92.03,,152.02,105.5,0.83,606.9,350.7
store0030-RackTCA,45.54,40.84,69.49,22.25,92.28,,152.08,105.7,0.83,607.4,350.9
store0030-RackTCA,45.55,40.94,69.46,21.15,92.66,,151.72,105.7,0.83,607.8,351.1
store0030-RackTCA,45.61,40.94,69.46,21.55,92.66,,151.56,106.1,0.83,605.1,349.7
store0030-RackTCA,45.63,40.94,69.57,21.87,92.16,,152.53,96.2,0.83,606.8,350.7
store0030-RackTCA,45.63,40.94,69.58,21.87,92.25,,152.53,96.2,0.83,608.0,351.3
store0030-RackTCA,45.37,40.85,69.55,20.85,91.51,,151.43,105.7,0.82,607.7,351.3
store0030-RackTCA,45.52,40.85,69.55,21.75,91.51,,152.49,105.9,0.83,607.3,351.1
store0030-RackTCA,45.57,40.89,69.6,22.05,90.79,,152.49,105.1,0.82,607.8,351.3
store0030-RackTCA,45.57,40.65,69.6,22.05,90.68,,153.16,105.5,0.83,607.9,351.3
store0030-RackTCA,45.46,40.84,69.6,21.55,90.5,,152.13,96.3,0.84,606.8,350.9
store0030-RackTCA,45.48,40.79,69.58,21.65,90.28,,154.83,105.6,0.83,608.7,351.8
store0030-RackTCA,45.48,40.79,69.57,21.65,90.28,,154.83,105.6,0.82,607.2,351.0
store0030-RackTCA,45.61,40.79,69.57,21.65,90.19,,154.62,106.2,0.83,605.9,350.3
store0030-RackTCA,45.5,40.76,69.6,21.65,90.16,,156.34,106.8,0.83,606.0,350.2
store0030-RackTCA,45.5,40.74,69.6,21.65,89.92,,156.34,106.4,0.83,606.9,350.8
store0030-RackTCA,45.46,40.81,69.55,22.05,90.25,,156.51,106.5,0.83,607.0,350.8
store0030-RackTCA,45.46,40.81,69.55,21.77,90.25,,156.02,107.3,0.83,607.0,350.9
store0030-RackTCA,45.46,40.84,69.53,20.97,90.91,,156.6,107.6,0.83,608.0,351.3
store0030-RackTCA,45.46,40.84,69.53,20.97,91.27,,156.6,107.5,0.83,606.8,350.5
